"name","weekday","income"
AbrahamBennet,monday   ,231845241
AlbertRinger,monday   ,392378038
AnnDull,monday   ,39656842
AnneRinger,monday   ,53386961
BurtGringlesby,monday   ,118429815
CharleneLocksley,monday   ,108450663
CherylCarson,monday   ,77977657
DeanStraight,monday   ,192550177
DirkStringer,monday   ,759341454
HeatherMcBadden,monday   ,293014643
Innesdel Castillo,monday   ,260992756
JohnsonWhite,monday   ,98560782
LiviaKarsen,monday   ,132386625
MarjorieGreen,monday   ,97539868
MeanderSmith,monday   ,52160238
MichaelO'Leary,monday   ,138096278
MichelDeFrance,monday   ,479584921
MorningstarGreene,monday   ,67381291
ReginaldBlotchet-Halls,monday   ,103178571
SherylHunter,monday   ,153301531
StearnsMacFeather,monday   ,30778276
SylviaPanteley,monday   ,96399427
AbrahamBennet,tuesday  ,259058032
AlbertRinger,tuesday  ,419021705
AnnDull,tuesday  ,38097808
AnneRinger,tuesday  ,55417862
BurtGringlesby,tuesday  ,114454018
CharleneLocksley,tuesday  ,102419646
CherylCarson,tuesday  ,76905547
DeanStraight,tuesday  ,183459092
DirkStringer,tuesday  ,734550038
HeatherMcBadden,tuesday  ,267891418
Innesdel Castillo,tuesday  ,285473369
JohnsonWhite,tuesday  ,100275590
LiviaKarsen,tuesday  ,145696078
MarjorieGreen,tuesday  ,102488971
MeanderSmith,tuesday  ,63913954
MichaelO'Leary,tuesday  ,125258271
MichelDeFrance,tuesday  ,467420387
MorningstarGreene,tuesday  ,67737441
ReginaldBlotchet-Halls,tuesday  ,89298154
SherylHunter,tuesday  ,163754751
StearnsMacFeather,tuesday  ,31056506
SylviaPanteley,tuesday  ,99289901
AbrahamBennet,wednesday,214842815
AlbertRinger,wednesday,403718425
AnnDull,wednesday,35589006
AnneRinger,wednesday,46106241
BurtGringlesby,wednesday,119047498
CharleneLocksley,wednesday,106731411
CherylCarson,wednesday,66729907
DeanStraight,wednesday,168092852
DirkStringer,wednesday,642376642
HeatherMcBadden,wednesday,249479672
Innesdel Castillo,wednesday,245730068
JohnsonWhite,wednesday,89036569
LiviaKarsen,wednesday,156662691
MarjorieGreen,wednesday,94949352
MeanderSmith,wednesday,49655899
MichaelO'Leary,wednesday,134525041
MichelDeFrance,wednesday,439203901
MorningstarGreene,wednesday,64838804
ReginaldBlotchet-Halls,wednesday,80548671
SherylHunter,wednesday,140290965
StearnsMacFeather,wednesday,24953855
SylviaPanteley,wednesday,85876351
AbrahamBennet,thursday ,226133921
AlbertRinger,thursday ,405676715
